iter	MultiClass
0	1.088713872
1	1.080483035
2	1.072715478
3	1.065641462
4	1.05838661
5	1.052302076
6	1.046251069
7	1.041744892
8	1.03631395
9	1.031595773
10	1.027590328
11	1.023514777
12	1.019407237
13	1.015349981
14	1.012033742
15	1.008725188
16	1.005686105
17	1.002679764
18	0.9999845985
19	0.9974022565
20	0.9941215322
21	0.9914631275
22	0.989200995
23	0.9859694307
24	0.9837918788
25	0.9814346458
26	0.979397652
27	0.9775984657
28	0.975764096
29	0.9734093709
30	0.9712699873
31	0.9697184053
32	0.9682053299
33	0.9665616526
34	0.9651642064
35	0.9634724837
36	0.9619285723
37	0.9605381789
38	0.9589651762
39	0.9573746779
40	0.9562512097
41	0.9550540602
42	0.9540827453
43	0.9526821003
44	0.9514311996
45	0.9497074283
46	0.9478797005
47	0.9467251354
48	0.9458733747
49	0.9445830931
50	0.943749544
51	0.9426218568
52	0.9416994377
53	0.9409490399
54	0.9397518229
55	0.9387980164
56	0.93745501
57	0.9367772042
58	0.9359168002
59	0.9345051302
60	0.9339214408
61	0.9334036353
62	0.9327822792
63	0.9313150414
64	0.9306401572
65	0.9297981939
66	0.9292834215
67	0.9279966039
68	0.9271807774
69	0.9264646939
70	0.9254349579
71	0.9248332873
72	0.9239189429
73	0.9230461581
74	0.9223970214
75	0.9218277836
76	0.9210964469
77	0.9205293817
78	0.9200853358
79	0.9191445788
80	0.9181022391
81	0.9175110377
82	0.9166948282
83	0.9160478332
84	0.9154601862
85	0.9149421586
86	0.9143211295
87	0.9137081482
88	0.9132630299
89	0.9122806689
90	0.9117926501
91	0.9109902565
92	0.9104905849
93	0.909782998
94	0.9093350424
95	0.908957294
96	0.9085498265
97	0.9075093129
98	0.9066273317
99	0.9062549239
100	0.9048119753
101	0.9044401868
102	0.9041446428
103	0.9035514505
104	0.9029093808
105	0.9024507097
106	0.9020740681
107	0.9017324084
108	0.901164558
109	0.900675974
110	0.9003146721
111	0.8999440801
112	0.8990935289
113	0.8987866293
114	0.8983564315
115	0.8978791775
116	0.8975846948
117	0.8972644472
118	0.8967357846
119	0.8963854028
120	0.8961698776
121	0.8955579555
122	0.8951522299
123	0.8946908657
124	0.8941146201
125	0.8938825362
126	0.8936496766
127	0.8930523251
128	0.8925722332
129	0.8923657474
130	0.8917307677
131	0.8914932398
132	0.8911855937
133	0.8908610448
134	0.8905186068
135	0.8900495643
136	0.8896617768
137	0.8892081654
138	0.888769358
139	0.8885203645
140	0.8881786825
141	0.8879525435
142	0.8875595641
143	0.8872660359
144	0.8869956818
145	0.8863974586
146	0.8860208659
147	0.8856945749
148	0.8852505685
149	0.8849431783
150	0.8846723895
151	0.8844354677
152	0.8841881118
153	0.8839454122
154	0.8835843809
155	0.8831742093
156	0.8829097968
157	0.8819900296
158	0.8817382996
159	0.8811636806
160	0.8806336734
161	0.8804133573
162	0.8801732512
163	0.8799328681
164	0.879667809
165	0.878884437
166	0.8785230223
167	0.8781600561
168	0.8780234736
169	0.8776090761
170	0.8774215357
171	0.8771426707
172	0.8769749963
173	0.8767589355
174	0.8762908132
175	0.8761114138
176	0.8756618467
177	0.875385141
178	0.875045255
179	0.8747356543
180	0.8745788158
181	0.8743424714
182	0.8740818409
183	0.8737232091
184	0.8735108709
185	0.8732275376
186	0.8727356354
187	0.8724489134
188	0.8722619222
189	0.8718430755
190	0.8715436131
191	0.8713776221
192	0.8711276528
193	0.8707593718
194	0.8702915362
195	0.8701640396
196	0.870032162
197	0.8698376083
198	0.8695430598
199	0.8694270146
200	0.8692219866
201	0.8689020048
202	0.868561406
203	0.8684014815
204	0.8680486019
205	0.8678654337
206	0.8676962542
207	0.867423812
208	0.8671652268
209	0.8669012234
210	0.866460044
211	0.8662459927
212	0.8660611707
213	0.8658592184
214	0.8656695658
215	0.8653323796
216	0.8650908081
217	0.8648543809
218	0.8645396093
219	0.8643567554
220	0.8641730791
221	0.8638620978
222	0.8636877629
223	0.8634588866
224	0.8631951938
225	0.863021174
226	0.8627822857
227	0.86250242
228	0.8623246645
229	0.8621995616
230	0.8620748828
231	0.8619445456
232	0.8616889547
233	0.8614912818
234	0.8613463233
235	0.861119698
236	0.860697726
237	0.8602682633
238	0.8600731804
239	0.8598658555
240	0.8597380769
241	0.8594893623
242	0.8593428859
243	0.8591867318
244	0.8589699631
245	0.8588518009
246	0.8586389624
247	0.858479811
248	0.8582313906
249	0.8580500421
250	0.8578602939
251	0.8577071885
252	0.8573003619
253	0.8571161019
254	0.8568553028
255	0.8566918273
256	0.8563746999
257	0.8561990388
258	0.8558328238
259	0.8556765207
260	0.8551368907
261	0.854832192
262	0.8543582425
263	0.8541409021
264	0.8538128159
265	0.8535697377
266	0.8533218431
267	0.8531899237
268	0.8528492236
269	0.8525696997
270	0.8523270753
