iter	Passed	Remaining
0	156	77907
1	161	40255
2	167	27748
3	173	21461
4	178	17690
5	184	15149
6	189	13345
7	194	11989
8	200	10939
9	205	10084
10	211	9382
11	216	8798
12	221	8307
13	227	7889
14	233	7540
15	238	7218
16	244	6953
17	250	6702
18	256	6482
19	261	6280
20	267	6092
21	272	5922
22	278	5769
23	283	5631
24	289	5497
25	295	5378
26	300	5261
27	305	5152
28	311	5058
29	316	4964
30	322	4875
31	327	4794
32	333	4719
33	338	4642
34	344	4574
35	349	4505
36	355	4442
37	360	4380
38	365	4318
39	370	4263
40	376	4211
41	381	4159
42	386	4110
43	391	4061
44	397	4015
45	403	3980
46	409	3943
47	415	3909
48	420	3871
49	426	3836
50	431	3800
51	436	3764
52	442	3730
53	447	3694
54	452	3661
55	457	3629
56	463	3599
57	468	3570
58	474	3543
59	479	3514
60	484	3487
61	489	3461
62	495	3436
63	501	3415
64	506	3392
65	512	3372
66	518	3347
67	523	3325
68	528	3303
69	534	3280
70	539	3261
71	545	3240
72	550	3220
73	556	3201
74	561	3181
75	566	3163
76	572	3144
77	578	3129
78	583	3112
79	590	3102
80	597	3092
81	603	3077
82	610	3066
83	617	3057
84	623	3044
85	629	3032
86	636	3021
87	643	3012
88	649	2999
89	656	2990
90	662	2978
91	669	2966
92	674	2953
93	680	2938
94	685	2923
95	691	2909
96	696	2895
97	702	2882
98	708	2870
99	713	2855
100	719	2841
101	724	2827
102	729	2812
103	734	2798
104	740	2785
105	745	2770
106	751	2759
107	756	2746
108	761	2733
109	767	2720
110	772	2708
111	778	2695
112	783	2684
113	789	2672
114	794	2660
115	800	2648
116	805	2636
117	810	2623
118	815	2612
119	821	2601
120	826	2588
121	832	2577
122	836	2565
123	842	2555
124	848	2544
125	853	2531
126	857	2519
127	863	2508
128	868	2496
129	873	2486
130	879	2476
131	884	2465
132	889	2454
133	894	2443
134	899	2432
135	905	2422
136	910	2412
137	916	2403
138	921	2394
139	927	2384
140	933	2376
141	939	2367
142	945	2359
143	951	2351
144	957	2343
145	963	2335
146	968	2326
147	974	2317
148	980	2309
149	987	2303
150	993	2296
151	999	2289
152	1005	2280
153	1011	2273
154	1017	2265
155	1024	2258
156	1030	2250
157	1036	2243
158	1043	2238
159	1050	2232
160	1057	2225
161	1063	2218
162	1069	2210
163	1075	2202
164	1081	2195
165	1087	2188
166	1094	2182
167	1100	2175
168	1107	2170
169	1115	2164
170	1121	2157
171	1127	2149
172	1133	2141
173	1139	2134
174	1144	2126
175	1150	2118
176	1157	2112
177	1163	2104
178	1169	2096
179	1175	2089
180	1180	2080
181	1186	2073
182	1191	2064
183	1198	2058
184	1204	2050
185	1209	2042
186	1215	2034
187	1221	2027
188	1227	2019
189	1233	2012
190	1240	2006
191	1247	2000
192	1253	1993
193	1259	1986
194	1265	1980
195	1272	1973
196	1278	1965
197	1283	1957
198	1289	1950
199	1295	1943
200	1302	1937
201	1308	1930
202	1314	1923
203	1320	1915
204	1326	1909
205	1332	1901
206	1338	1894
207	1344	1886
208	1349	1879
209	1355	1872
210	1362	1866
211	1368	1859
212	1374	1851
213	1379	1843
214	1385	1836
215	1391	1828
216	1397	1821
217	1402	1814
218	1408	1807
219	1414	1800
220	1420	1793
221	1426	1785
222	1431	1778
223	1437	1770
224	1443	1763
225	1448	1756
226	1453	1748
227	1459	1741
228	1465	1733
229	1470	1725
230	1475	1718
231	1480	1710
232	1485	1702
233	1491	1695
234	1496	1687
235	1502	1680
236	1508	1673
237	1513	1666
238	1519	1659
239	1524	1652
240	1530	1644
241	1536	1637
242	1541	1630
243	1547	1623
244	1553	1616
245	1558	1608
246	1564	1602
247	1569	1594
248	1575	1587
249	1580	1580
250	1586	1573
251	1591	1566
252	1597	1559
253	1603	1552
254	1609	1546
255	1614	1539
256	1620	1532
257	1626	1525
258	1632	1519
259	1638	1512
260	1644	1505
261	1649	1498
262	1655	1491
263	1661	1485
264	1667	1478
265	1673	1472
266	1679	1465
267	1684	1458
268	1690	1451
269	1696	1444
270	1702	1438
271	1707	1431
272	1713	1425
273	1720	1418
274	1725	1411
275	1731	1405
276	1737	1399
277	1743	1392
278	1749	1386
279	1755	1379
280	1760	1372
281	1766	1365
282	1771	1358
283	1776	1351
284	1782	1344
285	1788	1338
286	1793	1331
287	1798	1323
288	1803	1316
289	1809	1310
290	1814	1303
291	1820	1297
292	1826	1290
293	1832	1283
294	1838	1277
295	1843	1270
296	1848	1263
297	1854	1256
298	1859	1250
299	1865	1243
300	1870	1236
301	1876	1230
302	1881	1223
