HomeTeam,AwayTeam,H Shots,A Shots,H SOT,A SOT,H Corners,A Corners,H Fouls,A Fouls,H Yellow,A Yellow,H Red,A Red,League,Match_Result
30,11,5.0,11.0,3.0,5.0,1.0,9.0,13.0,14.0,2.0,2.0,0.0,0.0,1,2
36,55,23.0,13.0,9.0,5.0,4.0,4.0,7.0,10.0,1.0,3.0,0.0,0.0,1,1
24,1,10.0,11.0,3.0,3.0,8.0,5.0,17.0,10.0,2.0,1.0,0.0,0.0,1,2
32,21,21.0,9.0,4.0,4.0,4.0,3.0,7.0,6.0,0.0,0.0,0.0,0.0,1,2
40,67,17.0,13.0,5.0,7.0,4.0,2.0,10.0,13.0,0.0,2.0,0.0,0.0,1,1
0,61,14.0,10.0,4.0,2.0,10.0,4.0,16.0,9.0,3.0,1.0,0.0,0.0,1,1
9,35,18.0,21.0,6.0,8.0,4.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,1,0
17,7,26.0,7.0,10.0,3.0,9.0,3.0,15.0,16.0,2.0,3.0,0.0,0.0,1,0
64,25,4.0,21.0,3.0,5.0,0.0,3.0,9.0,18.0,3.0,3.0,0.0,0.0,1,1
42,33,6.0,23.0,3.0,7.0,0.0,9.0,7.0,10.0,2.0,1.0,0.0,0.0,1,0
67,42,13.0,11.0,6.0,3.0,5.0,3.0,10.0,8.0,1.0,2.0,0.0,0.0,1,2
25,29,15.0,7.0,4.0,3.0,9.0,2.0,10.0,14.0,1.0,5.0,0.0,0.0,1,0
33,36,19.0,13.0,6.0,4.0,6.0,9.0,10.0,13.0,2.0,4.0,0.0,0.0,1,0
61,40,13.0,14.0,4.0,4.0,9.0,10.0,11.0,15.0,1.0,4.0,0.0,0.0,1,2
1,32,13.0,4.0,5.0,2.0,7.0,2.0,10.0,11.0,0.0,1.0,0.0,0.0,1,1
7,24,19.0,9.0,8.0,0.0,9.0,3.0,15.0,14.0,2.0,2.0,0.0,0.0,1,1
21,17,13.0,15.0,6.0,1.0,6.0,6.0,9.0,12.0,0.0,2.0,0.0,0.0,1,0
35,64,10.0,17.0,7.0,4.0,7.0,1.0,8.0,13.0,2.0,1.0,0.0,0.0,1,1
55,9,8.0,20.0,1.0,11.0,2.0,2.0,10.0,4.0,2.0,0.0,0.0,0.0,1,2
10,0,11.0,9.0,4.0,3.0,2.0,5.0,17.0,14.0,2.0,3.0,0.0,0.0,1,0
9,0,5.0,14.0,2.0,5.0,4.0,3.0,6.0,8.0,1.0,2.0,0.0,0.0,1,2
1,10,20.0,13.0,4.0,4.0,12.0,3.0,9.0,14.0,2.0,3.0,0.0,0.0,1,0
29,17,9.0,20.0,6.0,5.0,4.0,7.0,9.0,5.0,4.0,4.0,0.0,0.0,1,1
36,40,10.0,12.0,0.0,4.0,2.0,3.0,13.0,8.0,1.0,1.0,0.0,0.0,1,2
32,35,11.0,14.0,4.0,5.0,4.0,4.0,11.0,6.0,2.0,1.0,0.0,0.0,1,2
21,55,19.0,7.0,10.0,3.0,8.0,7.0,18.0,19.0,2.0,3.0,0.0,0.0,1,1
24,42,13.0,11.0,2.0,7.0,5.0,4.0,13.0,10.0,4.0,1.0,0.0,0.0,1,2
25,7,11.0,16.0,6.0,9.0,1.0,7.0,7.0,16.0,1.0,3.0,0.0,0.0,1,0
61,67,13.0,11.0,3.0,3.0,5.0,5.0,9.0,10.0,1.0,2.0,0.0,0.0,1,0
64,33,7.0,22.0,0.0,13.0,3.0,6.0,7.0,10.0,0.0,0.0,0.0,0.0,1,2
11,9,24.0,8.0,7.0,3.0,5.0,3.0,6.0,12.0,0.0,2.0,0.0,0.0,1,0
0,30,13.0,3.0,5.0,0.0,5.0,1.0,7.0,12.0,1.0,1.0,0.0,0.0,1,1
35,24,24.0,8.0,5.0,3.0,8.0,5.0,5.0,10.0,1.0,4.0,0.0,0.0,1,0
7,21,18.0,10.0,4.0,4.0,5.0,2.0,13.0,12.0,2.0,2.0,0.0,0.0,1,0
17,25,12.0,14.0,8.0,7.0,3.0,1.0,13.0,13.0,1.0,3.0,0.0,0.0,1,2
40,1,22.0,4.0,8.0,1.0,9.0,6.0,15.0,10.0,2.0,1.0,0.0,1.0,1,1
42,61,10.0,13.0,3.0,4.0,2.0,7.0,12.0,13.0,3.0,2.0,0.0,1.0,1,1
55,64,18.0,16.0,5.0,2.0,2.0,2.0,15.0,8.0,1.0,2.0,0.0,0.0,1,2
67,36,7.0,11.0,4.0,4.0,4.0,4.0,12.0,12.0,2.0,2.0,0.0,1.0,1,1
33,32,19.0,4.0,7.0,1.0,14.0,1.0,17.0,5.0,3.0,2.0,0.0,0.0,1,1
24,17,5.0,12.0,4.0,5.0,2.0,5.0,20.0,12.0,4.0,1.0,0.0,0.0,1,0
25,55,16.0,5.0,5.0,1.0,6.0,5.0,8.0,15.0,1.0,3.0,0.0,0.0,1,0
32,67,9.0,8.0,5.0,4.0,6.0,1.0,15.0,16.0,2.0,0.0,0.0,0.0,1,2
36,7,23.0,10.0,7.0,5.0,13.0,1.0,11.0,11.0,1.0,3.0,0.0,0.0,1,2
61,33,9.0,24.0,5.0,12.0,7.0,5.0,7.0,9.0,1.0,2.0,0.0,0.0,1,2
1,35,11.0,12.0,6.0,6.0,5.0,4.0,14.0,7.0,3.0,3.0,0.0,0.0,1,1
9,42,7.0,10.0,3.0,6.0,9.0,5.0,9.0,14.0,3.0,4.0,0.0,0.0,1,2
29,40,10.0,15.0,2.0,7.0,2.0,1.0,9.0,7.0,2.0,0.0,0.0,0.0,1,2
64,10,11.0,12.0,4.0,6.0,8.0,4.0,14.0,20.0,2.0,2.0,0.0,0.0,1,0
21,0,15.0,14.0,6.0,6.0,3.0,3.0,9.0,8.0,2.0,2.0,0.0,0.0,1,2
7,64,29.0,16.0,9.0,3.0,12.0,6.0,6.0,11.0,0.0,2.0,0.0,0.0,1,0
17,9,26.0,9.0,8.0,4.0,8.0,5.0,11.0,7.0,0.0,2.0,1.0,0.0,1,1
10,21,17.0,13.0,5.0,5.0,8.0,5.0,11.0,15.0,1.0,4.0,0.0,0.0,1,2
35,36,10.0,10.0,3.0,3.0,8.0,2.0,5.0,14.0,1.0,1.0,0.0,0.0,1,2
55,61,9.0,18.0,3.0,9.0,2.0,5.0,8.0,15.0,1.0,3.0,0.0,0.0,1,2
0,24,13.0,2.0,5.0,0.0,8.0,2.0,6.0,9.0,0.0,3.0,0.0,0.0,1,0
42,1,17.0,8.0,6.0,2.0,4.0,3.0,12.0,6.0,0.0,1.0,0.0,0.0,1,1
40,32,27.0,4.0,11.0,1.0,5.0,2.0,7.0,16.0,3.0,3.0,0.0,0.0,1,1
33,25,16.0,12.0,4.0,3.0,5.0,4.0,10.0,7.0,3.0,4.0,1.0,0.0,1,0
67,29,16.0,10.0,6.0,5.0,7.0,3.0,13.0,9.0,0.0,2.0,1.0,0.0,1,2
64,67,19.0,19.0,4.0,5.0,11.0,0.0,12.0,17.0,5.0,4.0,0.0,0.0,1,1
25,0,2.0,12.0,2.0,4.0,0.0,6.0,10.0,9.0,4.0,2.0,0.0,0.0,1,0
32,10,10.0,16.0,3.0,7.0,5.0,5.0,9.0,10.0,1.0,2.0,0.0,0.0,1,0
29,7,18.0,22.0,5.0,6.0,6.0,13.0,9.0,13.0,2.0,1.0,0.0,0.0,1,2
61,17,13.0,17.0,5.0,8.0,5.0,10.0,17.0,11.0,2.0,2.0,0.0,0.0,1,2
36,42,17.0,11.0,7.0,3.0,5.0,3.0,10.0,13.0,0.0,2.0,0.0,0.0,1,2
21,35,12.0,12.0,3.0,4.0,6.0,8.0,4.0,10.0,1.0,0.0,0.0,1.0,1,0
1,55,18.0,4.0,5.0,0.0,14.0,1.0,18.0,15.0,1.0,3.0,0.0,0.0,1,1
9,40,11.0,16.0,8.0,3.0,3.0,4.0,10.0,7.0,3.0,0.0,0.0,0.0,1,1
7,61,21.0,12.0,8.0,4.0,5.0,9.0,15.0,8.0,2.0,2.0,0.0,0.0,1,1
25,10,6.0,13.0,2.0,3.0,5.0,6.0,7.0,8.0,2.0,2.0,0.0,0.0,1,1
